book_id,Title,Author,Publication Year
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,2004
330,On Beyond Zebra!,Dr. Seuss,1955
903,"The Egypt Game (Game, #1)",Zilpha Keatley Snyder,2009
1167,"Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)",Barbara Park,No year listed
3562,"Emily of New Moon (Emily, #1)",L.M. Montgomery,1983
3579,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",L.M. Montgomery,1998
3580,"Pat of Silver Bush (Pat, #1)",L.M. Montgomery,1988
3592,The Fall of the Amazing Zalindas  (Sherlock Holmes and the Baker Street Irregulars #1),Tracy Mack,No year listed
3802,The Story of Holly and Ivy,Rumer Godden,2006
4602,"Dooby Dooby Moo (A Click, Clack Book)",Doreen Cronin,No year listed
5019,"The Saturdays (The Melendy Family, #1)",Elizabeth Enright,2002
5342,The Life of Our Lord: Written for His Children During the Years 1846 to 1849,Charles Dickens,No year listed
5402,"""Stand Back,"" Said the Elephant, ""I'm Going to Sneeze!""",Patricia Thomas,1990
6332,Dirty Beasts,Roald Dahl,2002
6333,The Vicar of Nibbleswicke,Roald Dahl,1994
6619,Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann,1986
7783,Oh Say Can You Say?,Dr. Seuss,2005
7788,The Cat in the Hat and Other Dr. Seuss Favorites,Dr. Seuss,2003
7882,"On the Banks of Plum Creek  (Little House, #4)",Laura Ingalls Wilder,2007
7893,"Carney's House Party (Deep Valley, #1)",Maud Hart Lovelace,2000
7898,"Betsy and Joe (Betsy-Tacy, #8)",Maud Hart Lovelace,1995
7901,"Betsy Was a Junior (Betsy-Tacy, #7)",Maud Hart Lovelace,1995
7904,"Betsy-Tacy and Tib (Betsy-Tacy, #2)",Maud Hart Lovelace,1941
7906,"Emily of Deep Valley (Deep Valley, #2)",Maud Hart Lovelace,2000
7907,"Heaven to Betsy (Betsy-Tacy, #5)",Maud Hart Lovelace,1945
7925,"All-of-a-Kind Family Downtown (All-of-a-Kind Family, #2)",Sydney Taylor,No year listed
7926,"All-of-a-Kind Family (All-of-a-Kind Family, #1)",Sydney Taylor,2005
7928,"More All-of-a-Kind Family (All-of-a-Kind Family, #3)",Sydney Taylor,2001
8248,"By the Shores of Silver Lake  (Little House, #5)",Laura Ingalls Wilder,2007
8253,"Little Town on the Prairie  (Little House, #7)",Laura Ingalls Wilder,2007
8296,"The First Four Years  (Little House, #9)",Laura Ingalls Wilder,2007
8768,Today I Feel Silly  Other Moods That Make My Day,Jamie Lee Curtis,2007
8769,The Way I Feel,Janan Cain,2000
9475,"Midnight for Charlie Bone (The Children of the Red King, #1)",Jenny Nimmo,No year listed
9822,"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,2003
10118,Saint George and the Dragon,Margaret Hodges,1990
10414,Do Not Open This Book,Michaela Muntean,2006
11312,"Over Sea, Under Stone (The Dark Is Rising, #1)",Susan Cooper,2004
11903,The Eleventh Hour,Graeme Base,1993
12125,"Homecoming (Tillerman Cycle, #1)",Cynthia Voigt,2002
12932,"Anastasia on Her Own (Anastasia Krupnik, #5)",Lois Lowry,No year listed
13168,"Runaway Ralph (Ralph S. Mouse, #2)",Beverly Cleary,No year listed
13215,Life Doesn't Frighten Me,Maya Angelou,1996
13660,"Jane on Her Own (Catwings, #4)",Ursula K. Le Guin,2003
14335,Stranger in the Woods: A Photographic Fantasy,Carl R. Sams II,2000
14403,The Story of Ruby Bridges,Robert Coles,2004
